academy_url,academy name,price_available,go_to_school,sessions_per_week
"",Mini Programadores,28€ Mes,SI,1hr semana
https://roboticaninosmadrid.es/cursos-de-robotica-en-madrid-centro-y-programacion/robotica-no-lectoescritura-4-5-anos/,Robotica Niños Madrid,58€ Mes + 50€ Matricula,NO,1hr semana
https://igniteseriousplay.com,Ignite Serious Play,NO,NO,
https://campus-chamberi.rockbotic.com/extraescolares,RockBotic,65€ Mes,NO,1hr semana
https://camptecnologico.com/extraescolares-madrid-atocha/,CampTecnologico,50 € Mes,NO,1hr semana
https://futuros-talentos.com/extraescolar-robotica-colegios/,Futuros Talentos,NO,SI,
https://aulajoven.com/actividades-extraescolares-en-madrid/,Aulajoven,NO,NO,
https://thecreativeminds.es/,The Creative Minds,NO,SI,
https://www.formarobotik.com/,Forma Robotik,NO,SI,
https://laroboteca.es/actividades-extraescolares/,La Roboteca,NO,SI,
https://www.conectados.es/actividades/extraescolares-tecnologicas/extraescolares-madrid/,Conectados,NO,NO,
https://actividadesextraescolaresmadrid-actex.com/,Actividadesextraescolaresmadrid,NO,NO,